######################################################################  Penguins
Priceless HS Penguins,PNG
QB,Aphran Aaron,23,2014,61,51,54,53,56,60,8.5,3
QB,Jackie Puftington,25,2014,63,70,42,44,37,60,3.8,4
RB,Colet Phileon,23,2012,61,65,66,38,48,47,6.08,3
RB,Bell Fishtiker,25,2013,60,68,60,32,39,45,3.7,2
RB,Michael Carollon,22,2015,51,52,44,29,45,50,1.25,1
RB,Paul White,26,2010,50,49,50,61,30,31,1.9,2
WR,Titly Steven,25,2010,53,59,70,41,60,35,3.75,4
WR,Lenny Longwell,28,2008,61,62,61,33,58,41,2.45,3
WR,Camron Camelia,27,2009,71,68,40,31,60,19,1.8,2
WR,Walter Altoid,23,2014,65,71,41,30,45,30,2.25,4
WR,Jacob Filton,25,2015,61,61,25,20,37,43,1.5,2
WR,Michon Xavier,24,2015,70,71,31,15,18,21,1.5,3
OL,Danny Lockstone,26,2013,75,64,80,75,61,70,5.8,4
OL,Taylor Ronalods,25,2011,68,72,67,78,66,69,7.75,3
OL,Chris Sally,24,2013,68,69,70,76,70,50,2.5,1
OL,Tutties Xanda,24,2014,76,61,50,65,68.43,3.5,2
OL,Eduardo Chillion,25,2010,65,71,62,74,65,70,51,5,4
OL,George Washington,24,2013,67,67,57,77,67,67,1.25,1
OL,John Adams,25,2012,59,65,65,65,55,70,2.25,2
OL,Thomas Jefferson,27,2011,63,63,63,50,65,38,5.7,6
OL,James Madison,30,2008,58,65,61,60,58,58,3,3
OL,James Monroe,33,2005,50,45,56,65,57,56,1.5,2
OL,John Adams,32,2006,51,43,58,61,60,55,1.3,3
OL,Andrew Jackson,31,53,47,56,66,58,49,51,1.1,2
K,Yo Zooda,24,2012,63,80,35,72,63,74,2.7,4
K,Carson Danz,26,2010,61,70,64,68,65,71,2,3
S,Harold Say,23,2013,67,61,73,71,72,63,12.9,5
S,Gabriel Leeson,24,2014,69,70,64,64,62,60,7.75,3
CB,Tiny Little,27,2009,65,67,61,73,68,51,5.5,3
CB,Red Green,26,2012,62,70,62,65,65,60,6,4
CB,Felix Samuel,28,2009,60,65,58,64,64,50,3,2
CB,Quincy Sand,24,2014,50,54,61,63,66,38,1.3,1
CB,Ugene Yolon,27,2012,65,66,59,61,60,30,1.5,2
CB,William Harrison,28,2011,55,45,40,10,58,2,2
DL,De’kent Johnson,25,2013,73,71,70,73,66,70,7,3
DL,Thomas Lopez,23,2015,63,68,65,76,71,61,3,1
DL,Bear Patterson,21,2015,65,81,53,41,68,77,4.25,2
DL,Jessie Lillard,23,2012,55,43,61,58,71,59,2.25,1
DL,Nixon Gary,29,2009,60,54,70,36,65,55,3.75,2
DL,Howard Avin,28,2009,64,41,50,41,50,47,1.75,1
